section_ar,section_en,item,item_en,options,options_en,single,double,available
القهوة,Coffee,قهوة تركي سادة,Turkish Coffee,,,60,80,TRUE
القهوة,Coffee,قهوة تركي محوج,Spiced Turkish Coffee,,,70,90,TRUE
القهوة,Coffee,قهوة فرنساوي,French Coffee,,,70,90,TRUE
القهوة,Coffee,قهوة بندق,Hazelnut Coffee,,,80,100,TRUE
القهوة,Coffee,قهوة فستق,Pistachio Coffee,,,80,100,TRUE
القهوة,Coffee,قهوة نوتيلا,Nutella Coffee,,,80,100,TRUE
القهوة,Coffee,قهوة العميد,Al Ameed Coffee,,,70,90,TRUE
القهوة,Coffee,اسبريسو,Espresso,,,60,80,TRUE
القهوة,Coffee,اسبريسو لافادزا,Lavazza Espresso,,,70,90,TRUE
القهوة,Coffee,ماكياتو,Macchiato,,,80,100,TRUE
القهوة,Coffee,لاتيه,Latte,,,90,110,TRUE
القهوة,Coffee,سبانيش لاتيه,Spanish Latte,,,110,130,TRUE
القهوة,Coffee,لاتيه بنكهات,Flavoured Latte,قرفة - كراميل - بندق - فانيلا,Cinnamon - Caramel - Hazelnut - Vanilla,120,150,TRUE
القهوة,Coffee,كابتشينو,Cappuccino,,,90,110,TRUE
القهوة,Coffee,كابتشينو بندق,Hazelnut Cappuccino,,,120,150,TRUE
القهوة,Coffee,فلات وايت,Flat White,,,90,110,TRUE
القهوة,Coffee,كورتو,Cortado,,,100,,TRUE
القهوة,Coffee,كورتو موكا,Mocha Cortado,,,120,140,TRUE
القهوة,Coffee,موكا,Mocha,,,120,140,TRUE
القهوة,Coffee,موكا وايت,White Mocha,,,120,140,TRUE
القهوة,Coffee,نسكافيه كلاسيك,Nescafé Classic,,,90,110,TRUE
القهوة,Coffee,نسكافيه جولد,Nescafé Gold,,,110,130,TRUE
القهوة,Coffee,امريكان سادة,Americano,,,90,,TRUE
القهوة,Coffee,امريكان حليب,Americano with Milk,,,110,,TRUE
القهوة,Coffee,هوت شوكليت,Hot Chocolate,,,90,110,TRUE
القهوة,Coffee,هوت شوكليت نوتيلا,Nutella Hot Chocolate,,,110,130,TRUE
القهوة,Coffee,هوت شوكليت وايت,White Hot Chocolate,,,110,130,TRUE
القهوة,Coffee,كوفي افوجاتو,Coffee Affogato,,,120,,TRUE
مشروبات ساخنة,Hot Drinks,شاي ليبتون,Lipton Tea,,,60,,TRUE
مشروبات ساخنة,Hot Drinks,شاي احمد تي,Ahmad Tea,,,70,,TRUE
مشروبات ساخنة,Hot Drinks,شاي ايرلي جراي,Earl Grey Tea,,,70,,TRUE
مشروبات ساخنة,Hot Drinks,شاي اخضر,Green Tea,نعناع - هيل - ليمون - روزبيري - ياسمين - قرفة,Mint - Cardamom - Lemon - Roseberry - Jasmine - Cinnamon,70,,TRUE
مشروبات ساخنة,Hot Drinks,شاي حليب,Tea with Milk,,,80,,TRUE
مشروبات ساخنة,Hot Drinks,شاي نكهات,Flavoured Tea,خوخ - مانجو - تفاح - فراولة,Peach - Mango - Apple - Strawberry,80,,TRUE
مشروبات ساخنة,Hot Drinks,أعشاب,Herbal Infusions,كركديه - ليمون - نعناع - قرفة - جنزبيل ليمون - ينسون,Hibiscus - Lemon - Mint - Cinnamon - Ginger Lemon - Anise,80,,TRUE
مشروبات ساخنة,Hot Drinks,ليمون ساخن,Hot Lemon,,,80,,TRUE
مشروبات ساخنة,Hot Drinks,هوت سيدر,Hot Cider,تفاح - قرفة,Apple - Cinnamon,90,,TRUE
مشروبات ساخنة,Hot Drinks,فيتامين C,Vitamin C,برتقال - قرفة - ليمون - نعناع فريش - عسل,Orange - Cinnamon - Lemon - Fresh Mint - Honey,100,,TRUE
موخيتو,Mojito,موخيتو ردبول,Red Bull Mojito,,,180,,TRUE
موخيتو,Mojito,موخيتو,Mojito,فراولة - بلوبيري - باشن فروت - مانجو - كلاسيك - روزبيري,Strawberry - Blueberry - Passion Fruit - Mango - Classic - Roseberry,120,,TRUE
موخيتو,Mojito,فانيلا كولا,Vanilla Cola,,,100,,TRUE
موخيتو,Mojito,تشيري كولا,Cherry Cola,,,100,,TRUE
موخيتو,Mojito,ريد بول,Red Bull,,,110,,TRUE
موخيتو,Mojito,كان,Can,,,70,,TRUE
موخيتو,Mojito,صن شاين,Sunshine,,,100,,TRUE
